Processed by,Species,ID,Date,Time,FL (mm),wt (g),Fullness,Digestion,full wt,empty wt,Prey Taxa,LH,Higher level,Count,wt (g),Comments,QA/QC
JC,CHN,2017_Ad_min-F_001,8/28/2017,10:15,80,5.43,3,3,0.1525,0.1217,Chironomidae,pupae,Diptera,34,0.0112,,jc
JC,CHN,2017_Ad_min-F_001,8/28/2017,10:15,80,5.43,3,3,0.1525,0.1217,Chironomidae,larvae,Diptera,12,0.0008,,jc
JC,CHN,2017_Ad_min-F_001,8/28/2017,10:15,80,5.43,3,3,0.1525,0.1217,Formicidae,adult,Hymenoptera,1,0.0008,,jc
JC,CHN,2017_Ad_min-F_001,8/28/2017,10:15,80,5.43,3,3,0.1525,0.1217,Diptera,larvae,Diptera,3,0.0006,,jc
JC,CHN,2017_Ad_min-F_001,8/28/2017,10:15,80,5.43,3,3,0.1525,0.1217,Animal matter,,Animalia,,0.0055,,jc
JC,CHN,2017_Ad_min-F_001,8/28/2017,10:15,80,5.43,3,3,0.1525,0.1217,Insect matter,,Insecta,,0.0175,,jc
JC,CHN,2017_Ad_min-F_002,8/8/2017,14:23,65,3.03,4,5,0.0875,0.0596,Chironomidae,pupae,Diptera,39,0.0126,,jc
JC,CHN,2017_Ad_min-F_002,8/8/2017,14:23,65,3.03,4,5,0.0875,0.0596,Chironomidae,larvae,Diptera,17,0.0051,,jc
JC,CHN,2017_Ad_min-F_002,8/8/2017,14:23,65,3.03,4,5,0.0875,0.0596,Insect matter,,Insecta,,0.0015,,jc
JC,CHN,2017_Ad_min-F_002,8/8/2017,14:23,65,3.03,4,5,0.0875,0.0596,Unidentified,,Unidentified,,0.0003,,jc
JC,CHN,2017_Ad_min-F_003,8/8/2017,14:18,71,3.93,3,5,0.0925,0.0753,Chironomidae,pupae,Diptera,26,0.0118,,jc
JC,CHN,2017_Ad_min-F_003,8/8/2017,14:18,71,3.93,3,5,0.0925,0.0753,Chironomidae,larvae,Diptera,5,0.0012,,jc
JC,CHN,2017_Ad_min-F_003,8/8/2017,14:18,71,3.93,3,5,0.0925,0.0753,Dolichopodidae,larvae,Diptera,1,0.0005,,jc
JC,CHN,2017_Ad_min-F_004,8/8/2017,14:10,75,5.10,5,5,0.1446,0.0954,Chironomidae,pupae,Diptera,91,0.0420,,jc
JC,CHN,2017_Ad_min-F_004,8/8/2017,14:10,75,5.10,5,5,0.1446,0.0954,Chironomidae,larvae,Diptera,4,0.0010,,jc
JC,CHN,2017_Ad_min-F_004,8/8/2017,14:10,75,5.10,5,5,0.1446,0.0954,Insect matter,,Insecta,,0.0028,,jc
JC,CHN,2017_Ad_min-F_004,8/8/2017,14:10,75,5.10,5,5,0.1446,0.0954,Unidentified,,Unidentified,,0.0015,,jc
JC,CHN,2017_Ad_min-F_005,8/8/2017,14:05,68,3.73,4,5,0.1300,0.0721,Chironomidae,pupae,Diptera,102,0.0383,,jc
JC,CHN,2017_Ad_min-F_005,8/8/2017,14:05,68,3.73,4,5,0.1300,0.0721,Chironomidae,larvae,Diptera,4,0.0002,,jc
JC,CHN,2017_Ad_min-F_005,8/8/2017,14:05,68,3.73,4,5,0.1300,0.0721,Daphnia pulex/pulicaria grp.,,Cladocera,2,0.0012,,jc
JC,CHN,2017_Ad_min-F_005,8/8/2017,14:05,68,3.73,4,5,0.1300,0.0721,Insect matter,,Insecta,,0.0060,,jc
JC,CHN,2017_Ad_min-F_006,8/8/2017,14:00,61,4.13,5,5,0.1274,0.0737,Chironomidae,pupae,Diptera,86,0.0430,,jc
JC,CHN,2017_Ad_min-F_006,8/8/2017,14:00,61,4.13,5,5,0.1274,0.0737,Chironomidae,larvae,Diptera,1,0.0000,,jc
JC,CHN,2017_Ad_min-F_006,8/8/2017,14:00,61,4.13,5,5,0.1274,0.0737,Daphnia pulex/pulicaria grp.,,Cladocera,3,0.0002,,jc
JC,CHN,2017_Ad_min-F_006,8/8/2017,14:00,61,4.13,5,5,0.1274,0.0737,Acanthocyclops robustus,,Cyclopoida,1,0.0000,,jc
JC,CHN,2017_Ad_min-F_006,8/8/2017,14:00,61,4.13,5,5,0.1274,0.0737,Insect matter,,Insecta,,0.0046,,jc
JC,CHN,2017_Ad_min-F_006,8/8/2017,14:00,61,4.13,5,5,0.1274,0.0737,Unidentified,,Unidentified,,0.0030,,jc
JC,CHN,2017_Ad_min-F_007,8/8/2017,13:55,74,4.45,4,5,0.1183,0.0853,Chironomidae,pupae,Diptera,33,0.0144,,jc
JC,CHN,2017_Ad_min-F_007,8/8/2017,13:55,74,4.45,4,5,0.1183,0.0853,Chironomidae,larvae,Diptera,29,0.0070,,jc
JC,CHN,2017_Ad_min-F_007,8/8/2017,13:55,74,4.45,4,5,0.1183,0.0853,Diaptomidae,,Calanoida,2,0.0004,,jc
JC,CHN,2017_Ad_min-F_007,8/8/2017,13:55,74,4.45,4,5,0.1183,0.0853,Acanthocyclops robustus,,Cyclopoida,3,0.0002,,jc
JC,CHN,2017_Ad_min-F_007,8/8/2017,13:55,74,4.45,4,5,0.1183,0.0853,Diptera,adult,Diptera,1,0.0009,,jc
JC,CHN,2017_Ad_min-F_007,8/8/2017,13:55,74,4.45,4,5,0.1183,0.0853,Insect matter,,Insecta,,0.0032,,jc
JC,CHN,2017_Ad_min-F_008,7/21/2017,13:53,73,4.53,5,5,0.1435,0.0826,Chironomidae,pupae,Diptera,88,0.0445,,jc
JC,CHN,2017_Ad_min-F_008,7/21/2017,13:53,73,4.53,5,5,0.1435,0.0826,Brachycera,larvae,Diptera,1,0.0007,,jc
JC,CHN,2017_Ad_min-F_008,7/21/2017,13:53,73,4.53,5,5,0.1435,0.0826,Insect matter,,Insecta,,0.0049,,jc
JC,CHN,2017_Ad_min-F_009,7/20/2017,14:49,80,5.85,5,5,0.1654,0.1040,Chironomidae,pupae,Diptera,74,0.0332,,jc
JC,CHN,2017_Ad_min-F_009,7/20/2017,14:49,80,5.85,5,5,0.1654,0.1040,Chironomidae,larvae,Diptera,4,0.0009,,jc
JC,CHN,2017_Ad_min-F_009,7/20/2017,14:49,80,5.85,5,5,0.1654,0.1040,Insect matter,,Insecta,,0.0124,,jc
JC,CHN,2017_Ad_min-F_009,7/20/2017,14:49,80,5.85,5,5,0.1654,0.1040,Animal matter,,Animalia,,0.0040,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Coenagrionidae,nymph,Odonata,2,0.0728,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Chironomidae,pupae,Diptera,51,0.0629,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Chironomidae,larvae,Diptera,2,0.0002,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Daphnia pulex/pulicaria grp.,,Cladocera,37,0.0133,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Simocephalus sp,,Cladocera,1,0.0000,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Ceriodaphnia sp,,Cladocera,1,0.0000,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Osteichthyes,larvae,Chordata,2,0.0008,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Diaptomidae,,Calanoida,1,0.0000,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Acanthocyclops robustus,,Cyclopoida,2,0.0000,,jc
JC,CHN,2017_Ad_min-F_010,8/8/2017,14:38,88,8.63,6,5,0.4054,0.1814,Insect matter,,Insecta,,0.0434,,jc
,CHN,2017_Ad_min-F_011,8/8/2017,11:37,82,7.05,,,,,,,,,,,jc
,CHN,2017_Ad_min-F_012,8/8/2017,11:03,77,5.62,,,,,,,,,,,jc
,CHN,2017_Ad_min-F_014,8/8/2017,11:23,83,6.13,,,,,,,,,,,jc
,CHN,2017_Ad_min-F_015,8/8/2017,11:40,85,7.14,,,,,,,,,,,jc
,CHN,2017_Ad_min-F_017,8/8/2017,10:52,91,8.95,,,,,,,,,,,jc
,CHN,2017_Ad_min-F_022,8/8/2017,10:40,88,7.70,,,,,,,,,,,jc
,CHN,2017_Ad_min-F_023,8/8/2017,11:12,83,6.67,,,,,,,,,,,jc
JC,CHN,2017_Ad_min-F_024,8/9/2017,14:04,91,8.67,4,2,0.1898,0.1391,Daphnia sp,,Cladocera,9,0.0040,,jc
JC,CHN,2017_Ad_min-F_024,8/9/2017,14:04,91,8.67,4,2,0.1898,0.1391,Chironomidae,adult,Diptera,2,0.0030,,jc
JC,CHN,2017_Ad_min-F_024,8/9/2017,14:04,91,8.67,4,2,0.1898,0.1391,Animal matter,,Animalia,,0.0367,,jc
JC,CHN,2017_Ad_min-F_025,8/28/2017,11:40,82,6.00,3,3,0.1208,0.0995,Daphnia pulex/pulicaria grp.,,Cladocera,7,0.0048,,jc
JC,CHN,2017_Ad_min-F_025,8/28/2017,11:40,82,6.00,3,3,0.1208,0.0995,Chironomidae,emergent,Diptera,1,0.0034,,jc
JC,CHN,2017_Ad_min-F_025,8/28/2017,11:40,82,6.00,3,3,0.1208,0.0995,Chironomidae,larvae,Diptera,1,0.0009,,jc
JC,CHN,2017_Ad_min-F_025,8/28/2017,11:40,82,6.00,3,3,0.1208,0.0995,Insect matter,,Insecta,,0.0047,,jc
JC,CHN,2017_Ad_min-F_025,8/28/2017,11:40,82,6.00,3,3,0.1208,0.0995,Animal matter,,Animalia,,0.0035,,jc
JC,CHN,2017_Ad_min-F_026,7/20/2017,15:02,91,8.60,2,2,0.1475,0.1289,Chironomidae,emergent,Diptera,1,0.0015,,jc
JC,CHN,2017_Ad_min-F_026,7/20/2017,15:02,91,8.60,2,2,0.1475,0.1289,Unidentified,,Unidentified,,0.0062,,jc
,CHN,2017_Ad_min-F_027,9/8/2017,14:19,85,6.83,6,6,0.3054,0.1218,Osteichthyes,,Chordata,1,0.1697,Fish may be identifiable by someone who knows local species,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Chironomidae,pupae,Diptera,10,0.0027,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Chironomidae,larvae,Diptera,25,0.0114,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Chironomidae,emergent,Diptera,52,0.0190,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Daphnia pulex/pulicaria grp.,,Cladocera,2,0.0003,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Diaptomidae,,Calanoida,1,0.0001,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Aphididae,adult,Hemiptera,5,0.0049,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Ephydridae,adult,Diptera,1,0.0009,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Hymenoptera,adult,Hymenoptera,1,0.0001,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Insect matter,,Insecta,,0.0568,,jc
JC,CHN,2017_Ad_min-S_001,7/17/2017,9:11,90,8.66,6,3,0.3340,0.2307,Unidentified,,Unidentified,,0.0036,,jc
JC,CHN,2017_Ad_min-S_002,7/17/2017,9:38,90,8.39,5,4,0.3863,0.2065,Chironomidae,larvae,Diptera,33,0.0092,,jc
JC,CHN,2017_Ad_min-S_002,7/17/2017,9:38,90,8.39,5,4,0.3863,0.2065,Chironomidae,pupae,Diptera,1,0.0007,,jc
JC,CHN,2017_Ad_min-S_002,7/17/2017,9:38,90,8.39,5,4,0.3863,0.2065,Chironomidae,emergent,Diptera,1,0.0007,,jc
